plot,species,dbh_cm,count,browsed,stripped,broken
133,yellow birch,5.6,1,1,0,0
133,yellow birch,7,1,0,0,0
133,yellow birch,13.6,1,1,0,0
133,yellow birch,14.3,1,0,0,0
134,white pine ,2.8,1,0,0,0
134,red maple,NA,1,0,0,0
134,red maple,NA,4,1,0,0
134,chestnut,NA,2,0,0,0
134,white pine,NA,6,0,0,0
134,black birch,NA,1,1,0,0
134,shadbush,NA,1,0,0,0
134,witch hazel,NA,1,1,0,0
134,high bush blueberry,NA,1,0,0,0
134,chestnut,3.6,1,1,0,0
134,white pine,8.2,1,0,0,0
134,white pine,8.3,1,0,0,0
134,red maple,12.7,1,1,0,0
134,red maple,15.1,1,0,1,0
134,red oak,27,1,NA,0,0
134,red oak,28.7,1,NA,0,0
134,red oak,35.1,1,NA,0,0
134,red oak,35.7,1,NA,0,0
134,red oak,35.8,1,NA,0,0
134,red oak,46.1,1,NA,0,0
136,black birch,NA,8,0,0,0
136,black birch,NA,1,1,0,0
136,black birch,2.8,1,0,0,0
136,black birch,2.8,1,0,0,0
136,black birch,3.4,1,0,0,0
136,black birch,3.5,1,0,0,0
136,black birch,3.7,1,0,0,0
136,black birch,4.4,1,0,0,0
136,black birch,4.7,1,0,0,0
136,black birch,4.9,1,0,0,0
136,black birch,6.2,1,NA,0,0
136,black birch,6.9,1,NA,0,0
136,hemlock,2.6,1,0,0,0
136,hemlock,NA,4,0,0,0
136,hemlock,NA,1,1,0,0
136,hemlock,3.2,1,0,0,0
136,hemlock,5.1,1,0,0,0
136,hemlock,6.3,1,0,0,0
136,hemlock,11.6,1,0,0,0
136,red oak,NA,3,0,0,0
136,red oak,NA,1,1,0,0
136,red oak,2.6,1,0,0,0
136,red oak,2.8,1,0,0,0
136,white pine,NA,3,0,0,0
136,white pine,4,1,0,0,0
136,white pine,5.3,1,0,0,0
136,white pine,5.8,1,0,0,0
136,white pine,9.2,1,0,0,0
136,white pine,10.5,1,NA,0,0
136,white pine,21,1,NA,0,0
141,black birch,NA,1,0,0,0
141,mountain laurel,NA,18,0,0,0
141,white pine,NA,2,0,0,0
